Region,Year,Month,Date,ST-10,ST-30,ST-50,Temperature
Srimongal,2001,1,1,21.75,22.2,22.1,18
Srimongal,2001,1,2,22.9,22.55,22.25,18.6
Srimongal,2001,1,3,22.5,22.6,22.4,19.4
Srimongal,2001,1,4,22.05,22.5,22.5,19
Srimongal,2001,1,5,20.4,21.7,22.2,16.4
Srimongal,2001,1,6,19.8,20.7,21.6,14
Srimongal,2001,1,7,18.9,20.1,21.2,12.7
Srimongal,2001,1,8,18.9,20.05,20.85,12.8
Srimongal,2001,1,9,18.7,19.9,20.3,13.5
Srimongal,2001,1,10,19.5,20.3,20.6,15.2
Srimongal,2001,1,11,18.3,19.6,20.2,14.1
Srimongal,2001,1,12,17.9,19.3,20.05,12.8
Srimongal,2001,1,13,18.3,19.2,19.9,12.9
Srimongal,2001,1,14,18.55,19.3,19.8,14.6
Srimongal,2001,1,15,18.45,19,19.75,13.2
Srimongal,2001,1,16,19.2,19.45,19.8,14.2
Srimongal,2001,1,17,19.4,19.6,19.9,14.9
Srimongal,2001,1,18,19.5,19.8,19.95,15.4
Srimongal,2001,1,19,19.9,20.2,20.1,15.1
Srimongal,2001,1,20,20.2,20.45,20.2,15.6
Srimongal,2001,1,21,20.6,20.5,20,17
Srimongal,2001,1,22,20.65,20.75,20.65,17
Srimongal,2001,1,23,20.45,20.85,20.55,17
Srimongal,2001,1,24,20.4,20.5,20.6,16.9
Srimongal,2001,1,25,19.6,20.5,20.6,17
Srimongal,2001,1,26,18.95,20,20.15,14.2
Srimongal,2001,1,27,19,19.85,20.15,14.3
Srimongal,2001,1,28,19.1,19.75,20.05,14.1
Srimongal,2001,1,29,19.2,19.7,20,14.8
Srimongal,2001,1,30,19.8,20.1,20.25,15.9
Srimongal,2001,1,31,20.25,20.3,20.25,17.1
Srimongal,2001,2,1,21.2,20.85,20.55,17.6
Srimongal,2001,2,2,22,21.5,21,20.3
Srimongal,2001,2,3,21.8,21.75,21.25,19.3
Srimongal,2001,2,4,21.1,21.35,21.2,17
Srimongal,2001,2,5,20.85,21.15,21.15,16.6
Srimongal,2001,2,6,21.1,21.2,21.1,17.1
Srimongal,2001,2,7,21,21.25,21.1,17
